ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
13.41.196.179,11716,https|socks4|socks5,elite,GB,City of London,48,14.5,true,30.8,20.9,reviving
18.130.190.239,13710,https|socks4|socks5,elite,GB,City of London,48,84.7,true,84.6,84.7,reviving
51.102.184.122,56396,socks4|socks5,elite,DE,Frankfurt am Main,48,80.8,true,84.6,80.8,reviving
15.160.116.45,20423,socks4,elite,IT,Milan,49,14.1,true,16.7,17.0,reviving
18.175.218.194,9091,https|socks4|socks5,elite,GB,City of London,49,80.6,true,61.5,81.7,reviving
35.177.213.153,23871,https|socks4|socks5,elite,GB,City of London,49,72.4,true,78.6,72.4,reviving
35.177.65.228,83,https|socks4|socks5,elite,GB,City of London,49,75.5,true,85.7,75.5,reviving
13.36.211.95,30577,https|socks4|socks5,elite,FR,Paris,50,69.1,true,76.9,69.1,reviving
13.38.217.179,10744,https|socks4|socks5,elite,FR,Paris,50,8.6,true,16.7,12.5,reviving
16.62.123.236,43981,https|socks4|socks5,elite,CH,Zurich,50,13.1,true,25.0,13.9,reviving
35.176.250.70,3128,socks4|socks5,elite,GB,City of London,50,81.6,true,100.0,81.6,flaky
46.35.9.110,80,http,elite,FR,,50,78.8,true,92.9,97.7,stable
62.133.62.27,1082,socks4,elite,FR,Paris,50,22.8,true,33.3,25.1,reviving
63.179.134.206,55288,https|socks4|socks5,elite,DE,Frankfurt am Main,50,12.1,true,8.3,14.6,reviving
63.180.203.233,2218,https|socks4|socks5,elite,DE,Frankfurt am Main,50,55.2,true,61.5,55.2,reviving
15.160.67.218,47903,https|socks4|socks5,elite,IT,Milan,51,71.2,true,100.0,71.2,flaky
15.237.108.20,18080,https|socks4|socks5,elite,FR,Paris,51,16.7,true,33.3,17.0,reviving
18.170.45.5,5742,socks4|socks5,elite,GB,City of London,51,80.5,true,71.4,80.5,reviving
35.159.62.164,45960,socks4|socks5,elite,DE,Frankfurt am Main,51,86.8,true,92.9,86.8,flaky
13.38.217.179,55964,socks4,elite,FR,Paris,52,10.3,true,16.7,12.2,reviving
35.177.213.153,21348,https|socks4|socks5,elite,GB,City of London,52,77.5,true,69.2,77.5,reviving
35.180.201.54,39994,https|socks4|socks5,elite,FR,Paris,52,72.7,true,76.9,72.7,reviving
37.187.74.125,80,http,elite,FR,,52,98.9,true,100.0,98.8,stable
